id,name,japanese_name,classfication,generation,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,abilities,height_m,weight_kg,base_egg_steps,base_happiness,base_total,capture_rate,experience_growth,percentage_male,is_legendary,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,image_url,pokedex_number
0001,Bulbasaur,Fushigidaneãƒ•ã‚·ã‚®ãƒ€ãƒ,Seed PokÃ©mon,1,grass,poison,45,49,49,65,65,45,"['Overgrow', 'Chlorophyll']",0.7,6.9,5120,70,318,45,1059860,88.1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,1
0002,Ivysaur,Fushigisouãƒ•ã‚·ã‚®ã‚½ã‚¦,Seed PokÃ©mon,1,grass,poison,60,62,63,80,80,60,"['Overgrow', 'Chlorophyll']",1,13,5120,70,405,45,1059860,88.1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,2
0003,Venusaur,Fushigibanaãƒ•ã‚·ã‚®ãƒãƒŠ,Seed PokÃ©mon,1,grass,poison,80,100,123,122,120,80,"['Overgrow', 'Chlorophyll']",2,100,5120,70,625,45,1059860,88.1,0,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,3
0004,Charmander,Hitokageãƒ’ãƒˆã‚«ã‚²,Lizard PokÃ©mon,1,fire,,39,52,43,60,50,65,"['Blaze', 'Solar Power']",0.6,8.5,5120,70,309,45,1059860,88.1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,4
0005,Charmeleon,Lizardoãƒªã‚¶ãƒ¼ãƒ‰,Flame PokÃ©mon,1,fire,,58,64,58,80,65,80,"['Blaze', 'Solar Power']",1.1,19,5120,70,405,45,1059860,88.1,0,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,5
0006,Charizard,Lizardonãƒªã‚¶ãƒ¼ãƒ‰ãƒ³,Flame PokÃ©mon,1,fire,flying,78,104,78,159,115,100,"['Blaze', 'Solar Power']",1.7,90.5,5120,70,634,45,1059860,88.1,0,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,6
0007,Squirtle,Zenigameã‚¼ãƒ‹ã‚¬ãƒ¡,Tiny Turtle PokÃ©mon,1,water,,44,48,65,50,64,43,"['Torrent', 'Rain Dish']",0.5,9,5120,70,314,45,1059860,88.1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,7
0008,Wartortle,Kameilã‚«ãƒ¡ãƒ¼ãƒ«,Turtle PokÃ©mon,1,water,,59,63,80,65,80,58,"['Torrent', 'Rain Dish']",1,22.5,5120,70,405,45,1059860,88.1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png,8
0009,Blastoise,Kamexã‚«ãƒ¡ãƒƒã‚¯ã‚¹,Shellfish PokÃ©mon,1,water,,79,103,120,135,115,78,"['Torrent', 'Rain Dish']",1.6,85.5,5120,70,630,45,1059860,88.1,0,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png,9
0010,Caterpie,Caterpieã‚­ãƒ£ã‚¿ãƒ”ãƒ¼,Worm PokÃ©mon,1,bug,,45,30,35,20,20,45,"['Shield Dust', 'Run Away']",0.3,2.9,3840,70,195,255,1000000,50,0,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,10
